User,Turn,Phase,Phase_Label,Norm_VarEntropy
persona_280,10,state_analysis,State Analysis,0.16361798711276715
persona_280,10,strategy,Strategy,0.15013627303907223
persona_280,10,response,Response,0.14742702382691192
persona_45,2,whole,Whole,0.1533992776833134
persona_45,2,state_analysis,State Analysis,0.16688672818307654
persona_45,2,strategy,Strategy,0.10619835893919825
persona_45,2,response,Response,0.12689484085169878
persona_45,3,whole,Whole,0.09196872038379315
persona_45,3,state_analysis,State Analysis,0.07252407892736065
persona_45,3,strategy,Strategy,0.12114713311295236
persona_45,3,response,Response,0.10543468315996855
persona_45,4,whole,Whole,0.09006966546522578
persona_45,4,state_analysis,State Analysis,0.04521134285894068
persona_45,4,strategy,Strategy,0.09137489771644325
persona_45,4,response,Response,0.09254126307386763
persona_45,5,whole,Whole,0.13955630200373229
persona_45,5,state_analysis,State Analysis,0.10629163165187994
persona_45,5,strategy,Strategy,0.14334288339871679
persona_45,5,response,Response,0.09227816603277221
persona_45,6,whole,Whole,0.11264356575657962
persona_45,6,state_analysis,State Analysis,0.13087161398990482
persona_45,6,strategy,Strategy,0.07274692792819333
persona_45,6,response,Response,0.08568291262923011
persona_45,7,whole,Whole,0.10936362932301827
persona_45,7,state_analysis,State Analysis,0.101495064121925
persona_45,7,strategy,Strategy,0.0
persona_45,7,response,Response,0.11312860569862467
persona_45,8,whole,Whole,0.17698086292534557
persona_45,8,state_analysis,State Analysis,0.12396081598274923
persona_45,8,strategy,Strategy,0.0
persona_45,8,response,Response,0.1330684691294898
persona_45,9,whole,Whole,0.1283334986851888
persona_45,9,state_analysis,State Analysis,0.09650490467012625
persona_45,9,strategy,Strategy,0.0
persona_45,9,response,Response,0.16350350145743098
persona_45,10,whole,Whole,0.13830528587720878
persona_45,10,state_analysis,State Analysis,0.10346222805933152
persona_45,10,strategy,Strategy,0.0
persona_45,10,response,Response,0.08720616317995632
persona_217,2,whole,Whole,0.16998976595380333
persona_217,2,state_analysis,State Analysis,0.11846020684874577
persona_217,2,strategy,Strategy,0.14685943948463365
persona_217,2,response,Response,0.16491697809515715
persona_217,3,whole,Whole,0.140935728482699
persona_217,3,state_analysis,State Analysis,0.10888916957209532
persona_217,3,strategy,Strategy,0.0
persona_217,3,response,Response,0.12147379033888352
persona_217,4,whole,Whole,0.12528731531018378
persona_217,4,state_analysis,State Analysis,0.05852067196046815
persona_217,4,strategy,Strategy,0.1367294521698827
persona_217,4,response,Response,0.11956495207583258
persona_217,5,whole,Whole,0.07971212761454079
persona_217,5,state_analysis,State Analysis,0.03886582606440063
persona_217,5,strategy,Strategy,0.06829686190678522
persona_217,5,response,Response,0.10175853763114552
persona_217,6,whole,Whole,0.16340311846793015
persona_217,6,state_analysis,State Analysis,0.13030585893354663
persona_217,6,strategy,Strategy,0.13572065368003694
persona_217,6,response,Response,0.008989420066805717
persona_217,7,whole,Whole,0.14525628656373482
persona_217,7,state_analysis,State Analysis,0.16943740970241133
persona_217,7,strategy,Strategy,0.12790176084179805
persona_217,7,response,Response,0.09296338818918012
persona_217,8,whole,Whole,0.16316123540613148
persona_217,8,state_analysis,State Analysis,0.11737626430713329
persona_217,8,strategy,Strategy,0.0
persona_217,8,response,Response,0.16378309904219157
persona_217,9,whole,Whole,0.12115870702520125
persona_217,9,state_analysis,State Analysis,0.15585289358337187
persona_217,9,strategy,Strategy,0.0
persona_217,9,response,Response,0.11485679908303537
persona_217,10,whole,Whole,0.1633086915767657
persona_217,10,state_analysis,State Analysis,0.11686591806251923
persona_217,10,strategy,Strategy,0.0
persona_217,10,response,Response,0.12390415086847696
persona_17,2,whole,Whole,0.17013408457056153
persona_17,2,state_analysis,State Analysis,0.11196993054802827
persona_17,2,strategy,Strategy,0.11656090567318299
persona_17,2,response,Response,0.1324501845749139
persona_17,3,whole,Whole,0.15660866278641747
persona_17,3,state_analysis,State Analysis,0.0785604166746729
persona_17,3,strategy,Strategy,0.09062745651414847
persona_17,3,response,Response,0.08391575615637287
persona_17,4,whole,Whole,0.08715731364480167
persona_17,4,state_analysis,State Analysis,0.11209221804131889
persona_17,4,strategy,Strategy,0.0
persona_17,4,response,Response,0.08432985212622582
persona_17,5,whole,Whole,0.12198204308215227
persona_17,5,state_analysis,State Analysis,0.11943278178530305
persona_17,5,strategy,Strategy,0.09928010259136687
persona_17,5,response,Response,0.0975946763958306
persona_17,6,whole,Whole,0.11084530827225378
persona_17,6,state_analysis,State Analysis,0.10751316598217303
persona_17,6,strategy,Strategy,0.13039006738729517
persona_17,6,response,Response,0.07313277797835734
persona_17,7,whole,Whole,0.10493936466033824
persona_17,7,state_analysis,State Analysis,0.09348140267446357
persona_17,7,strategy,Strategy,0.07541428547130603
persona_17,7,response,Response,0.13253818864672406
persona_17,8,whole,Whole,0.18196177604480818
persona_17,8,state_analysis,State Analysis,0.051840549166956025
persona_17,8,strategy,Strategy,0.1098416421752174
persona_17,8,response,Response,0.12124933701041295
persona_17,9,whole,Whole,0.1156331597257982
persona_17,9,state_analysis,State Analysis,0.13626152409569345
persona_17,9,strategy,Strategy,0.0
persona_17,9,response,Response,0.08128812946419305
persona_17,10,whole,Whole,0.11690891027052232
persona_17,10,state_analysis,State Analysis,0.1434789488865815
persona_17,10,strategy,Strategy,0.0
persona_17,10,response,Response,0.10442441757331124
persona_16,2,whole,Whole,0.17615857093363113
persona_16,2,state_analysis,State Analysis,0.08596339950263672
persona_16,2,strategy,Strategy,0.1964558993711541
persona_16,2,response,Response,0.11347467737843989
persona_16,3,whole,Whole,0.1252643830779364
persona_16,3,state_analysis,State Analysis,0.06637656168607087
persona_16,3,strategy,Strategy,0.08835374427766103
persona_16,3,response,Response,0.14858913448891597
persona_16,4,whole,Whole,0.1572539105577882
persona_16,4,state_analysis,State Analysis,0.10838076853972754
persona_16,4,strategy,Strategy,0.07901234273825256
persona_16,4,response,Response,0.14400296238947213
persona_16,5,whole,Whole,0.13583894366733548
persona_16,5,state_analysis,State Analysis,0.1922662699385309
persona_16,5,strategy,Strategy,0.12289765305635264
persona_16,5,response,Response,0.10002720272233663
persona_16,6,whole,Whole,0.19062385729329762
persona_16,6,state_analysis,State Analysis,0.1691543269617644
persona_16,6,strategy,Strategy,0.1469813442006377
persona_16,6,response,Response,0.07745618589707991
persona_16,7,whole,Whole,0.1891237105090791
persona_16,7,state_analysis,State Analysis,0.1856808427996186
persona_16,7,strategy,Strategy,0.0
persona_16,7,response,Response,0.1459930165705191
persona_16,8,whole,Whole,0.18993798213479385
persona_16,8,state_analysis,State Analysis,0.12171401948634193
persona_16,8,strategy,Strategy,0.06249390766599803
persona_16,8,response,Response,0.15477962403009457
persona_16,9,whole,Whole,0.11362597580777224
persona_16,9,state_analysis,State Analysis,0.09922439338614653
persona_16,9,strategy,Strategy,0.0
persona_16,9,response,Response,0.17423144070830082
persona_16,10,whole,Whole,0.1362191881347598
persona_16,10,state_analysis,State Analysis,0.1033172239487419
